MinTemp,MaxTemp,WindGustDir,WindGustSpeed,Humidity,Temp,Pressure,RainTomorrow
24.4,34.0,NW,98.0,60.0,39.0,1005.3,Yes
18.8,35.2,WNW,52.0,43.0,28.0,1007.9,No
20.8,30.6,W,54.0,41.0,21.0,1005.4,No
14.0,34.3,WSW,24.0,44.0,10.0,1016.5,No
15.7,38.4,S,33.0,48.0,12.0,1017.7,No
18.5,38.2,NNE,31.0,48.0,25.0,1017.8,No
20.4,40.7,N,37.0,45.0,15.0,1014.9,No
21.8,41.5,SW,24.0,38.0,13.0,1015.7,No
22.3,42.9,NNE,28.0,37.0,11.0,1014.6,No
22.0,42.7,ESE,48.0,33.0,11.0,1014.2,No
28.0,43.1,SW,83.0,27.0,9.0,1012.5,No
24.4,38.3,SW,56.0,32.0,21.0,1011.7,No
21.5,37.7,,,51.0,21.0,1009.2,No
21.7,36.9,,,53.0,26.0,1008.8,No
21.5,41.2,WSW,35.0,48.0,15.0,1005.9,No
23.5,42.2,W,37.0,39.0,8.0,1008.0,No
22.3,44.8,NNW,59.0,36.0,11.0,1008.2,No
28.3,40.2,NW,52.0,20.0,19.0,1007.0,No
18.4,31.2,SE,37.0,66.0,31.0,1009.3,No
14.9,27.3,SSE,41.0,50.0,30.0,1011.6,No
13.5,26.7,SSE,46.0,45.0,24.0,1012.8,No
14.6,29.0,SSE,41.0,41.0,21.0,1023.3,No
12.4,29.2,NE,39.0,37.0,18.0,1022.5,No
13.3,31.3,NNE,41.0,50.0,23.0,1016.2,No
17.2,31.1,E,35.0,43.0,22.0,1017.7,No
12.5,28.8,N,31.0,46.0,17.0,1017.2,No
18.0,32.0,NW,31.0,44.0,22.0,1012.4,No
16.2,34.0,WSW,48.0,53.0,16.0,1007.8,No
18.7,29.1,SSW,41.0,45.0,39.0,1010.1,No
13.7,31.7,SSE,28.0,63.0,19.0,1012.5,No
15.5,33.2,NW,31.0,49.0,23.0,1015.6,No
14.3,34.0,NW,70.0,48.0,10.0,1013.0,No
12.9,29.6,WNW,46.0,54.0,14.0,1014.0,No
8.9,31.9,WNW,43.0,49.0,16.0,1016.6,No
15.0,32.7,ESE,26.0,43.0,19.0,1017.8,No
15.4,32.6,W,24.0,53.0,25.0,1016.2,No
16.0,34.5,WSW,44.0,44.0,14.0,1007.5,No
12.8,30.3,W,30.0,53.0,27.0,1010.5,No
13.2,31.9,NNW,35.0,53.0,25.0,1014.1,No
18.0,31.1,WNW,52.0,58.0,35.0,1014.7,No
13.8,22.1,WNW,57.0,57.0,26.0,1014.5,No
11.5,22.0,SW,50.0,60.0,33.0,1013.7,No
7.6,24.0,WSW,30.0,52.0,23.0,1014.5,No
8.3,27.9,W,37.0,58.0,22.0,1015.2,No
11.0,30.2,SSE,24.0,54.0,20.0,1017.0,No
13.8,31.8,NNE,24.0,49.0,28.0,1019.7,No
15.5,32.0,NE,50.0,51.0,25.0,1019.5,Yes
18.4,30.5,NE,44.0,57.0,23.0,1021.3,No
10.0,19.7,WNW,39.0,62.0,41.0,1013.4,No
8.8,21.9,W,39.0,78.0,34.0,1013.3,No
8.4,25.3,WNW,35.0,78.0,34.0,1015.6,No
9.3,28.0,NW,52.0,76.0,19.0,1017.4,No
11.3,30.1,WSW,24.0,56.0,15.0,1016.3,No
11.5,33.5,SSE,22.0,50.0,13.0,1016.5,No
13.8,33.6,NNW,28.0,47.0,17.0,1017.0,No
14.6,30.0,NE,37.0,56.0,30.0,1014.8,No
14.4,31.6,NW,37.0,63.0,25.0,1013.7,No
10.8,31.9,S,48.0,62.0,20.0,1016.5,No
13.3,29.8,WSW,33.0,87.0,26.0,1019.1,No
10.1,27.6,WNW,43.0,63.0,30.0,1023.0,No
9.1,28.9,NNW,24.0,60.0,26.0,1023.8,No
10.4,31.2,S,22.0,60.0,18.0,1022.4,No
13.4,30.4,ENE,22.0,57.0,16.0,1023.0,No
12.3,29.9,WSW,26.0,61.0,25.0,1023.2,No
12.2,30.6,SE,22.0,59.0,22.0,1022.6,No
14.3,32.1,NE,28.0,59.0,30.0,1022.6,Yes
18.4,28.1,W,98.0,92.0,49.0,1018.8,Yes
10.7,21.4,W,43.0,60.0,33.0,1019.8,No
7.8,21.7,WSW,31.0,72.0,37.0,1020.4,No
8.1,21.4,W,35.0,58.0,20.0,1021.8,No
7.5,22.5,SE,28.0,55.0,27.0,1026.7,No
8.2,24.0,SSE,17.0,60.0,30.0,1027.1,No
8.1,25.7,ENE,22.0,67.0,27.0,1024.2,No
11.6,26.7,W,48.0,59.0,42.0,1021.5,Yes
13.0,24.9,W,46.0,75.0,47.0,1024.4,Yes
9.9,25.4,NNE,19.0,65.0,35.0,1023.0,No
12.2,25.0,WNW,30.0,68.0,39.0,1016.3,No
10.7,21.9,W,63.0,44.0,27.0,1008.2,No
3.5,20.0,W,31.0,65.0,30.0,1016.3,No
6.6,21.6,WNW,26.0,59.0,39.0,1018.5,No
7.0,23.4,W,24.0,73.0,37.0,1022.8,No
11.2,23.9,SE,31.0,54.0,33.0,1022.7,No
7.4,22.0,SSE,28.0,58.0,29.0,1023.6,No
5.7,21.4,ESE,17.0,68.0,39.0,1025.2,No
6.2,22.7,ESE,17.0,73.0,33.0,1026.0,No
6.0,22.9,NE,33.0,68.0,34.0,1021.3,No
7.6,14.5,WNW,35.0,83.0,48.0,1018.0,No
5.4,12.2,SSE,19.0,62.0,46.0,1023.1,No
2.1,16.5,SW,19.0,70.0,38.0,1023.4,No
1.8,17.0,SW,19.0,77.0,44.0,1026.0,No
7.2,19.2,SW,22.0,81.0,49.0,1026.9,No
4.2,19.1,W,19.0,86.0,44.0,1029.8,No
5.2,18.8,ESE,15.0,71.0,47.0,1031.4,No
4.1,19.3,SW,20.0,82.0,49.0,1028.5,No
3.2,18.4,SW,20.0,86.0,49.0,1026.2,No
4.3,19.0,W,15.0,68.0,36.0,1028.8,No
3.7,20.5,W,17.0,78.0,45.0,1026.0,No
5.4,19.5,SE,17.0,69.0,40.0,1025.1,No
3.6,18.5,W,26.0,81.0,49.0,1022.3,No
2.6,19.7,E,13.0,82.0,34.0,1024.7,No
4.4,19.8,SE,20.0,81.0,48.0,1025.2,No
4.7,19.8,SE,24.0,75.0,43.0,1025.2,No
6.2,22.9,E,30.0,71.0,37.0,1022.2,No
6.7,21.1,SE,20.0,69.0,43.0,1025.0,No
2.6,15.7,SSE,13.0,91.0,48.0,1023.4,No
2.2,16.5,ESE,33.0,67.0,44.0,1025.6,No
2.2,16.8,SE,26.0,65.0,44.0,1030.3,No
1.7,17.1,NW,44.0,73.0,46.0,1034.1,Yes
2.0,15.8,NNE,24.0,82.0,49.0,1011.8,No
1.2,17.7,SE,17.0,83.0,49.0,1022.3,No
-1.5,12.5,E,19.0,91.0,46.0,1026.0,No
0.8,17.7,N,43.0,87.0,46.0,1019.7,No
8.3,13.8,NNW,37.0,79.0,49.0,1023.1,No
8.0,13.9,WNW,57.0,79.0,47.0,1012.8,Yes
-1.0,12.2,ESE,15.0,91.0,48.0,1021.6,No
1.1,16.7,N,30.0,72.0,49.0,1018.5,No
1.0,16.8,ESE,24.0,82.0,45.0,1024.9,No
1.6,16.6,NE,37.0,79.0,47.0,1018.4,No
,18.8,N,31.0,83.0,46.0,1022.2,No
6.5,24.7,NE,39.0,70.0,39.0,1020.0,No
13.2,25.1,NNE,35.0,44.0,25.0,1017.0,No
4.3,17.8,SW,24.0,60.0,29.0,1022.6,No
1.6,17.2,S,20.0,68.0,44.0,1022.5,No
2.8,21.1,E,17.0,74.0,39.0,1022.2,No
5.4,20.6,NNW,22.0,98.0,46.0,1018.8,No
1.7,17.0,NW,19.0,73.0,49.0,1015.6,No
4.0,21.4,NNW,35.0,75.0,36.0,1018.0,No
8.3,19.7,W,35.0,85.0,47.0,1020.7,No
3.8,15.9,S,35.0,90.0,42.0,1018.7,No
1.2,16.3,ESE,39.0,65.0,43.0,1024.0,No
3.2,18.2,SSE,33.0,63.0,39.0,1027.7,No
4.6,19.0,SE,22.0,55.0,36.0,1029.5,No
4.6,19.2,WSW,28.0,83.0,46.0,1022.7,No
5.1,22.7,NE,19.0,78.0,38.0,1026.6,No
6.9,26.6,NNW,30.0,71.0,31.0,1022.9,No
8.8,27.1,SSE,20.0,73.0,44.0,1018.9,No
9.1,27.1,WSW,24.0,67.0,38.0,1020.8,No
8.1,23.9,WNW,35.0,70.0,26.0,1019.6,No
7.4,25.4,WSW,30.0,68.0,28.0,1019.5,No
10.6,23.1,SE,63.0,68.0,34.0,1014.7,No
10.8,22.0,SE,35.0,52.0,38.0,1023.8,No
5.9,24.1,ENE,26.0,64.0,43.0,1027.5,No
11.3,26.8,W,19.0,67.0,41.0,1025.4,No
13.7,29.1,WSW,22.0,75.0,46.0,1022.8,No
15.6,30.8,SSE,20.0,65.0,38.0,1022.3,No
17.8,34.0,WNW,33.0,66.0,35.0,1021.6,No
18.7,32.4,S,20.0,66.0,47.0,1018.8,No
18.7,24.3,W,46.0,46.0,39.0,1009.8,No
10.0,23.2,WNW,39.0,59.0,27.0,1017.1,No
6.6,25.3,NE,44.0,67.0,28.0,1020.5,No
10.8,27.9,SSE,28.0,55.0,32.0,1025.0,No
11.3,29.8,S,22.0,57.0,27.0,1028.5,No
13.5,31.8,SSE,28.0,55.0,29.0,1029.1,No
15.4,33.4,WSW,37.0,48.0,29.0,1025.4,No
15.9,35.2,SW,33.0,49.0,23.0,1021.0,No
17.1,36.0,ESE,26.0,43.0,18.0,1021.4,No
16.7,35.1,WSW,43.0,49.0,18.0,1018.9,No
18.1,32.8,SE,31.0,42.0,22.0,1017.2,No
13.4,35.4,W,46.0,55.0,25.0,1015.6,No
17.2,36.3,W,35.0,57.0,16.0,1009.8,No
15.3,35.1,W,54.0,46.0,20.0,1007.0,No
12.1,30.5,SSE,30.0,38.0,18.0,1008.0,No
11.4,33.5,N,24.0,53.0,18.0,1010.0,No
18.6,39.7,NW,37.0,29.0,11.0,1006.8,No
15.3,38.2,NW,78.0,45.0,21.0,1007.6,Yes
11.9,23.6,W,24.0,63.0,37.0,1020.7,No
12.8,25.8,WNW,30.0,60.0,40.0,1024.6,No
17.2,32.9,SE,24.0,60.0,36.0,1020.8,No
17.1,26.4,W,52.0,48.0,27.0,1006.5,Yes
13.2,23.9,SE,50.0,82.0,35.0,1010.3,No
12.3,23.6,E,37.0,43.0,31.0,1018.4,No
10.6,27.0,WNW,39.0,48.0,29.0,1022.0,No
11.4,31.5,W,50.0,57.0,16.0,1019.2,No
12.3,27.5,WSW,44.0,42.0,7.0,1015.9,No
10.7,26.7,W,37.0,44.0,22.0,1015.1,No
11.1,30.7,W,28.0,58.0,23.0,1015.9,No
13.4,31.9,W,39.0,47.0,19.0,1012.3,No
18.2,24.9,SW,54.0,58.0,45.0,1006.9,Yes
9.2,25.4,WNW,30.0,64.0,24.0,1011.6,No
14.2,27.4,W,52.0,52.0,26.0,1008.9,No
9.2,22.6,SW,41.0,62.0,30.0,1016.9,No
9.0,26.5,WSW,39.0,52.0,31.0,1019.2,No
11.8,29.6,SW,43.0,52.0,27.0,1017.6,No
13.6,32.0,SSE,28.0,48.0,25.0,1018.7,No
13.1,34.7,SSW,28.0,51.0,22.0,1019.4,No
14.6,38.6,NNW,39.0,45.0,8.0,1017.0,No
14.5,40.3,NW,107.0,40.0,28.0,1008.9,Yes
12.2,26.4,W,41.0,60.0,19.0,1015.0,No
11.1,29.2,WSW,37.0,45.0,23.0,1016.2,No
12.0,31.3,NNW,31.0,52.0,21.0,1018.1,No
12.7,33.7,NW,39.0,48.0,10.0,1013.5,No
15.1,36.6,WSW,39.0,44.0,10.0,1010.9,No
18.1,38.2,E,37.0,41.0,12.0,1012.4,No
22.9,34.6,NNE,63.0,21.0,29.0,1006.5,Yes
18.8,28.3,SE,31.0,84.0,49.0,1009.8,No
17.1,31.3,N,33.0,56.0,34.0,1014.7,No
17.8,35.9,SE,33.0,58.0,23.0,1015.2,No
18.7,35.9,SSE,31.0,46.0,24.0,1020.0,No
19.8,36.8,N,33.0,41.0,15.0,1022.0,No
21.1,33.2,N,44.0,41.0,35.0,1016.8,Yes
19.4,31.9,NNE,39.0,70.0,40.0,1012.2,Yes
18.6,29.1,W,56.0,88.0,48.0,1007.8,No
12.2,29.7,W,30.0,57.0,32.0,1014.4,No
14.8,32.8,SW,30.0,55.0,24.0,1017.5,No
15.0,35.8,W,46.0,46.0,13.0,1014.9,No
16.3,33.8,WNW,41.0,49.0,7.0,1014.1,No
15.0,33.0,SSE,28.0,45.0,17.0,1014.9,No
17.4,36.4,N,30.0,50.0,19.0,1018.0,No
19.6,39.8,W,41.0,48.0,19.0,1017.2,No
20.6,42.2,WSW,41.0,38.0,8.0,1015.4,No
21.0,42.2,NE,30.0,39.0,15.0,1013.8,No
24.5,42.4,NNW,74.0,48.0,12.0,1007.7,No
15.7,31.7,SSW,35.0,55.0,28.0,1016.1,No
17.2,36.3,NNW,33.0,51.0,20.0,1015.6,No
21.8,36.6,W,46.0,50.0,11.0,1009.6,No
16.8,25.6,WNW,57.0,51.0,24.0,1006.9,No
10.5,22.6,SW,52.0,44.0,30.0,1007.7,No
8.7,25.2,W,50.0,47.0,27.0,1011.5,No
11.0,32.9,W,48.0,52.0,15.0,1011.8,No
15.4,37.3,W,56.0,39.0,18.0,1010.7,No
19.2,41.8,NNW,69.0,40.0,9.0,1008.8,No
24.7,35.4,WSW,43.0,43.0,9.0,1006.7,No
14.4,33.7,SSW,28.0,50.0,22.0,1013.2,No
14.3,35.8,WNW,35.0,47.0,8.0,1011.4,No
15.1,35.9,WSW,39.0,35.0,10.0,1010.0,No
17.7,36.4,W,43.0,45.0,14.0,1011.4,No
15.2,34.4,NW,35.0,51.0,8.0,1008.5,No
16.0,35.2,SSE,35.0,46.0,14.0,1009.0,No
18.9,36.5,NE,46.0,48.0,22.0,1015.3,No
21.7,36.3,NE,44.0,39.0,16.0,1014.2,No
21.0,38.2,E,67.0,46.0,19.0,1014.0,Yes
17.8,34.3,ENE,39.0,61.0,24.0,1016.1,No
17.9,35.6,E,57.0,36.0,23.0,1014.0,No
23.5,32.0,NNW,44.0,51.0,44.0,1010.8,Yes
19.5,30.3,SE,43.0,55.0,38.0,1016.4,No
20.3,33.9,SE,37.0,53.0,32.0,1020.8,No
23.0,34.0,NNW,37.0,66.0,32.0,1020.8,No
21.7,35.6,SSW,46.0,64.0,28.0,1018.8,No
20.5,30.3,SE,41.0,80.0,43.0,1006.8,No
17.8,26.8,ESE,52.0,76.0,44.0,1008.6,No
17.6,29.0,SE,31.0,48.0,34.0,1014.7,No
,31.2,ESE,31.0,33.0,24.0,1020.4,No
16.4,30.3,NNE,26.0,54.0,34.0,1023.6,No
15.7,31.8,NW,57.0,70.0,35.0,1018.9,No
12.5,26.1,W,31.0,56.0,34.0,1017.3,No
12.8,28.5,SE,24.0,57.0,35.0,1020.3,No
15.0,31.0,NNW,22.0,61.0,33.0,1023.9,No
18.2,29.3,W,39.0,84.0,45.0,1016.7,No
11.2,28.5,SSE,28.0,58.0,23.0,1019.3,No
12.5,31.2,ENE,19.0,61.0,26.0,1018.6,No
15.1,,,,70.0,35.0,1014.2,No
18.8,30.3,WSW,39.0,87.0,48.0,1010.0,Yes
18.1,25.5,NW,56.0,79.0,38.0,1008.7,Yes
12.3,24.4,SSE,28.0,56.0,40.0,1031.4,No
10.6,25.0,NNE,20.0,72.0,40.0,1036.3,No
11.5,25.7,SE,24.0,80.0,44.0,1035.2,No
12.2,26.3,SE,24.0,75.0,37.0,1030.0,No
13.2,26.6,E,22.0,72.0,38.0,1025.5,No
12.5,28.6,ENE,46.0,73.0,28.0,1023.8,No
13.3,29.6,SSW,19.0,76.0,35.0,1025.6,No
15.1,30.4,SSE,48.0,73.0,36.0,1025.4,No
14.9,31.4,W,33.0,79.0,31.0,1020.4,No
16.7,31.9,W,35.0,77.0,36.0,1020.2,No
16.8,25.6,W,44.0,78.0,46.0,1018.7,No
9.1,25.3,WNW,30.0,69.0,36.0,1020.8,No
8.3,27.0,WNW,31.0,79.0,23.0,1021.2,No
10.5,28.8,S,22.0,81.0,31.0,1022.0,No
11.6,29.6,NNW,24.0,75.0,32.0,1021.8,No
12.6,30.0,WNW,24.0,80.0,32.0,1019.2,No
15.6,30.2,E,20.0,73.0,32.0,1019.8,No
17.2,28.7,W,39.0,79.0,41.0,1016.4,Yes
16.5,26.9,SSW,28.0,91.0,44.0,1019.6,No
13.4,26.1,SSE,28.0,71.0,42.0,1021.2,No
11.6,25.8,WNW,26.0,82.0,44.0,1020.0,No
10.0,25.1,SE,20.0,78.0,42.0,1019.8,No
12.4,24.8,NE,26.0,71.0,41.0,1020.7,No
12.5,24.8,SE,20.0,58.0,37.0,1022.1,No
10.3,25.3,SE,17.0,76.0,38.0,1020.7,No
10.6,24.7,NE,33.0,75.0,40.0,1017.9,Yes
14.2,18.7,WNW,57.0,86.0,43.0,1010.1,No
4.6,19.9,SW,19.0,82.0,49.0,1023.8,No
5.1,21.9,SSE,19.0,81.0,49.0,1023.6,No
6.1,23.5,SE,17.0,79.0,40.0,1022.6,No
7.7,24.7,SSE,19.0,79.0,45.0,1026.5,No
8.5,25.4,ESE,17.0,74.0,38.0,1027.8,No
10.1,25.1,SSW,17.0,67.0,47.0,1027.1,No
11.2,25.9,ESE,17.0,81.0,46.0,1025.7,No
11.8,25.2,ENE,26.0,79.0,49.0,1024.6,No
12.3,27.5,NW,20.0,74.0,44.0,1022.8,No
11.4,27.3,WSW,17.0,74.0,40.0,1023.6,No
11.3,29.0,NNW,35.0,89.0,34.0,1020.5,Yes
10.8,18.5,W,37.0,72.0,40.0,1016.2,No
5.1,17.9,SSE,15.0,78.0,49.0,1026.5,No
5.9,21.1,N,22.0,84.0,46.0,1027.9,No
4.8,20.7,SSW,15.0,97.0,47.0,1026.7,No
6.8,23.0,NNW,30.0,83.0,39.0,1027.1,No
8.0,25.3,WNW,61.0,92.0,29.0,1017.8,Yes
5.0,19.8,ENE,17.0,99.0,47.0,1020.8,No
3.0,15.6,WSW,43.0,77.0,47.0,1012.5,No
1.3,14.9,W,28.0,81.0,48.0,1022.8,No
3.1,17.7,SE,15.0,99.0,46.0,1021.2,No
2.2,18.4,SE,13.0,83.0,44.0,1019.9,No
1.6,19.7,WNW,17.0,90.0,38.0,1020.9,No
1.4,18.5,W,28.0,86.0,39.0,1024.1,No
2.1,16.5,N,13.0,88.0,44.0,1023.8,No
1.7,17.9,SSE,15.0,92.0,42.0,1022.3,No
1.1,17.1,ESE,22.0,76.0,45.0,1023.3,No
0.9,18.1,NNW,24.0,76.0,35.0,1023.5,No
8.8,20.2,SE,46.0,99.0,47.0,1004.7,No
10.7,19.1,SSE,48.0,54.0,48.0,1015.2,No
3.1,12.2,WNW,19.0,89.0,49.0,1023.7,No
-1.0,13.1,ESE,11.0,83.0,47.0,1031.8,No
0.3,15.5,E,31.0,79.0,47.0,1022.4,Yes
4.5,14.9,SW,50.0,91.0,45.0,1005.7,No
2.1,15.3,N,26.0,87.0,49.0,1024.0,No
2.3,15.1,SW,52.0,83.0,49.0,1026.2,No
6.0,18.7,W,31.0,88.0,47.0,1017.1,No
7.5,13.4,WSW,54.0,64.0,49.0,1019.2,No
8.6,20.1,W,26.0,70.0,48.0,1025.8,No
5.4,20.6,WSW,24.0,75.0,43.0,1020.5,No
5.4,14.6,W,39.0,65.0,49.0,1016.0,No
3.7,14.3,W,39.0,66.0,43.0,1021.4,No
-0.1,14.6,NNW,28.0,59.0,45.0,1026.3,No
4.1,17.4,NE,20.0,71.0,42.0,1027.5,No
4.8,21.1,NE,37.0,61.0,47.0,1028.2,No
7.4,23.0,NE,35.0,72.0,45.0,1028.4,No
7.3,15.9,WSW,46.0,64.0,42.0,1020.0,No
4.2,19.0,W,30.0,59.0,49.0,1025.3,No
5.4,20.8,N,17.0,83.0,49.0,1025.7,No
8.2,23.2,NE,39.0,71.0,42.0,1029.4,No
7.6,23.7,E,37.0,60.0,45.0,1030.9,No
4.8,19.0,WNW,22.0,78.0,49.0,1026.0,No
8.0,23.3,N,20.0,75.0,47.0,1024.5,No
9.5,25.8,NNE,30.0,77.0,49.0,1020.9,No
10.9,22.2,WNW,22.0,77.0,47.0,1022.4,No
8.8,23.5,WNW,33.0,80.0,35.0,1017.9,Yes
10.2,22.3,WNW,35.0,81.0,46.0,1016.2,No
8.8,23.6,NE,26.0,73.0,48.0,1019.8,No
10.3,25.6,NE,39.0,70.0,44.0,1017.2,Yes
10.7,18.0,WNW,35.0,63.0,49.0,1019.3,No
10.1,18.8,SSE,33.0,61.0,48.0,1020.8,No
11.1,21.0,ENE,44.0,53.0,37.0,1023.0,No
7.5,22.9,ENE,31.0,59.0,42.0,1022.6,No
9.3,24.5,W,54.0,73.0,46.0,1018.3,Yes
11.6,27.7,SSW,46.0,69.0,47.0,1024.3,No
15.5,29.0,WSW,46.0,76.0,45.0,1019.9,No
15.2,30.5,N,28.0,73.0,47.0,1014.3,No
17.5,31.3,NNE,41.0,60.0,41.0,1012.5,No
15.9,23.1,W,37.0,84.0,32.0,1014.3,No
11.4,20.8,W,33.0,56.0,42.0,1015.4,No
8.8,23.3,W,43.0,65.0,34.0,1017.5,No
9.1,24.8,W,37.0,68.0,36.0,1015.7,No
12.1,25.5,SE,26.0,56.0,39.0,1020.9,No
12.0,27.3,NE,26.0,63.0,39.0,1026.0,No
12.7,29.7,N,22.0,70.0,29.0,1022.1,No
14.7,29.9,ENE,26.0,59.0,36.0,1022.7,No
14.8,29.4,N,31.0,49.0,34.0,1023.5,No
18.1,30.1,N,35.0,46.0,31.0,1021.8,No
17.3,29.9,WSW,44.0,65.0,48.0,1012.6,No
16.6,31.6,SSE,28.0,63.0,31.0,1011.5,No
18.9,30.4,ENE,43.0,63.0,38.0,1012.7,No
21.3,29.8,NNE,43.0,50.0,44.0,1011.5,Yes
16.7,22.5,WNW,46.0,59.0,38.0,1010.1,No
11.2,24.3,WNW,43.0,59.0,35.0,1009.2,No
15.0,22.2,NW,46.0,54.0,33.0,1005.6,No
10.5,26.2,WNW,33.0,65.0,32.0,1014.3,No
13.7,28.8,ENE,24.0,67.0,36.0,1015.0,No
16.1,31.1,NNE,35.0,57.0,28.0,1008.7,No
15.1,25.6,W,43.0,72.0,21.0,1004.6,No
10.3,25.9,NW,46.0,62.0,31.0,1005.3,No
9.9,21.2,WSW,41.0,68.0,48.0,1010.5,No
9.4,25.9,SW,28.0,71.0,37.0,1018.4,No
12.3,29.2,SW,41.0,62.0,24.0,1018.1,No
13.9,30.8,NE,31.0,47.0,33.0,1022.3,No
17.5,30.0,SW,43.0,75.0,35.0,1005.4,No
11.3,22.2,W,57.0,57.0,38.0,1006.7,No
9.1,26.7,SSE,37.0,49.0,35.0,1016.8,No
13.5,31.0,NW,30.0,57.0,28.0,1015.6,No
14.8,34.0,SW,41.0,55.0,25.0,1015.8,No
15.7,38.1,N,46.0,55.0,22.0,1014.3,No
23.2,35.8,ENE,26.0,46.0,29.0,1011.1,No
20.1,31.1,W,35.0,45.0,27.0,1010.9,No
13.6,29.4,WNW,35.0,56.0,28.0,1011.8,No
13.9,29.2,SSE,24.0,53.0,38.0,1011.6,No
16.0,28.9,SSE,31.0,57.0,31.0,1006.2,No
16.5,31.6,NNE,30.0,48.0,34.0,1010.3,No
16.1,30.7,NNE,26.0,51.0,42.0,1012.7,No
17.8,32.0,ENE,31.0,66.0,40.0,1012.0,No
20.1,33.0,ENE,61.0,55.0,41.0,1013.8,Yes
20.1,32.0,ENE,37.0,68.0,40.0,1013.6,Yes
19.9,31.4,WSW,24.0,83.0,34.0,1009.4,No
18.5,33.7,WSW,31.0,71.0,46.0,1009.7,No
19.8,26.9,WSW,48.0,70.0,36.0,1004.4,No
12.9,27.2,W,28.0,64.0,43.0,1007.4,No
12.9,29.3,NE,28.0,70.0,36.0,1009.1,No
16.1,31.9,E,22.0,63.0,38.0,1011.8,No
17.8,32.5,N,37.0,60.0,40.0,1012.4,No
19.8,34.6,NE,43.0,60.0,37.0,1013.6,No
20.7,31.4,ENE,39.0,53.0,41.0,1010.4,No
19.8,30.6,WSW,35.0,68.0,29.0,1002.5,No
14.9,32.0,SW,28.0,60.0,30.0,1008.0,No
21.1,34.4,SW,39.0,63.0,40.0,1008.2,No
14.3,31.6,WSW,39.0,60.0,30.0,1014.5,No
12.6,32.3,E,28.0,56.0,20.0,1017.8,No
14.5,32.0,NW,35.0,59.0,32.0,1018.9,No
16.7,35.4,SSE,28.0,68.0,31.0,1019.0,No
19.9,38.2,S,24.0,56.0,25.0,1015.3,No
20.5,39.8,NW,61.0,57.0,16.0,1009.0,No
21.9,33.7,NNE,41.0,77.0,49.0,1014.1,Yes
14.7,21.5,WSW,43.0,81.0,45.0,1017.0,No
10.8,25.5,SSE,26.0,58.0,40.0,1023.6,No
15.0,29.4,NNE,20.0,66.0,43.0,1022.0,No
